constructor,jolpica_constructor_id,nationality
Alfa Romeo,alfa,Swiss
AlphaTauri,alphatauri,Italian
Alpine F1 Team,alpine,French
Arrows,arrows,British
Aston Martin,aston_martin,British
BAR,bar,British
BMW Sauber,bmw_sauber,German
Benetton,benetton,Italian
Brawn,brawn,British
Caterham,caterham,Malaysian
Ferrari,ferrari,Italian
Force India,force_india,Indian
HRT,hrt,Spanish
Haas F1 Team,haas,American
Honda,honda,Japanese
Jaguar,jaguar,British
Jordan,jordan,Irish
Lotus,lotus_racing,Malaysian
Lotus F1,lotus_f1,British
MF1,mf1,Russian
Manor Marussia,manor,British
Marussia,marussia,Russian
McLaren,mclaren,British
Mercedes,mercedes,German
Minardi,minardi,Italian
Prost,prost,French
RB F1 Team,rb,Italian
Racing Point,racing_point,British
Red Bull,red_bull,Austrian
Renault,renault,French
Sauber,sauber,Swiss
Spyker,spyker,Dutch
Spyker MF1,spyker_mf1,Dutch
Super Aguri,super_aguri,Japanese
Toro Rosso,toro_rosso,Italian
Toyota,toyota,Japanese
Virgin,virgin,British
Williams,williams,British
